ThreatID;Threat_Name;Description;URL
1;51 % attack;51% attacks occurs when a hacker gains control of over 50% of a blockchains hashing power;https://www.sciencedirect.com/science/article/pii/S2667295221000386
2;Fork problems;Forking attacks occurs when a hacker replaces the most trusted chain by launching an alternative chain to gain benefits;https://www.sciencedirect.com/science/article/pii/S0045790620307497
3;Scaling;The ability to handle and support the increasing volume of transactions, as well as an increasing number of participating nodes in the network;https://link.springer.com/article/10.1007/s11042-020-09368-6
4;Selfish mining;Is when a miner or a group of miners solves a hash, opens a new block and then withholds it from the public blockchain. This creates a fork, which is then mined to get ahead of the public blockchain;https://www.sciencedirect.com/science/article/pii/S2667295221000386
5;Nothing at stake; A theoretical security issue in PoS consensus system. It happens when validators have a financial incentive to mine on every fork of the blockchain that takes place. The system gets vulnerable to attacks due to disruptive consensus within the network. ;https://ieeexplore.ieee.org/abstract/document/8934243
6;Consensus delay;Delay in the consensus due to other types of attacks. ETC. Majority attack. This is basically a consequence of attacks on the consensus;https://ieeexplore.ieee.org/document/9019870
7;Orphaned blocks;A block whose parent blocks hash field points to an unauthentic block that is detached from the Blockchain. These inconsistencies can be introduced by an attacker or caused by race conditions in the work of the miners.;https://ieeexplore.ieee.org/document/9019870
8;Brute force attack;During the brute-force attack, the intruder tries all possible keys (or passwords), and checks which one of them returns the correct plaintext. A brute-force attack is also called an exhaustive key search.;https://owasp.org/www-community/attacks/Brute_force_attack
9;Pool hopping attack;Pool hopping attack is a destructive strategy where miners only participate in the higher expected revenue and hop across different pools when the income is lower. Goal: obtain more profits by leaving and joining other pools than their contributions by honest mining.;https://www.sciencedirect.com/science/article/pii/S2667295221000386
10;Block size attack;Consensus configuration manipulation where you increase the time of transaction, massively delaying the transaction.;https://www.researchgate.net/publication/337276742_Ripping_the_Fabric_Attacks_and_Mitigations_on_Hyperledger_Fabric
11;Transaction reordering;The leader of the ordering service reorders transactions to favor specific organizations. Orderer Admins might abuse this to gain an advantage in smart contracts where timing is critical;https://www.researchgate.net/publication/337276742_Ripping_the_Fabric_Attacks_and_Mitigations_on_Hyperledger_Fabric
12;Lack of Consistency;The blockchain is based on a network with message delays, which means that the newly generated block may not be received simultaneously by all nodes through propagation, leading to the contradiction called fork. The inconsistency not only shortens the extension speed of the main chain by honest miners, but also induces the attacks which have a detrimental impact on the security of the blockchain. Although the public ledger may appear diverse temporarily, it will finally achieve the consistent state by consensus mechanism for all nodes to share the accordant view of the blockchain;https://link.springer.com/article/10.1007/s11042-020-09368-6
13;Wormhole attack;;https://eprint.iacr.org/2018/472.pdf
14;Collusion attack;If double spending happen, the colluding miners may force the acceptance of the fraudulent transaction by including it in a block;http://people.eecs.berkeley.edu/~kubitron/courses/cs262a-F18/projects/reports/project13_report_ver3.pdf
15;Denial of service in atomic swaps;;https://link.springer.com/article/10.1007/s11280-021-00870-x
16;Asset locking;;https://link.springer.com/article/10.1007/s11280-021-00870-x
17;Loss of funds in atomic swaps;;https://link.springer.com/article/10.1007/s11280-021-00870-x
18;Double spending attack;Double spending occurs when someone spent the same currency twice;https://www.sciencedirect.com/science/article/pii/S0045790620307497
19;No transaction finality;;https://www.sciencedirect.com/science/article/pii/S1574119218306266
20;Timing attack;;https://ieeexplore.ieee.org/abstract/document/8993210
21;Different signature algorithms;;https://documents1.worldbank.org/curated/en/373781615365676101/pdf/Blockchain-Interoperability.pdf
22;Single point of failure;;https://ieeexplore.ieee.org/abstract/document/9277054
23;Private key attack;Sufficient public and private key infrastructure is necessary to obtain a secure network;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
24;Sybil attack;When an attacker achieves disproportionate control over the network by creating several identities;https://www.sciencedirect.com/science/article/pii/S2667295221000386
25;Eclipse attack;Eclipse attack is when a attacker isolate nodes or a specific user within a peer to peer network. The goal is to obscure the users view of the network;https://www.sciencedirect.com/science/article/pii/S2667295221000386
26;Denial of service attack;It restricts access to a computer or network in order to prevent users from using it. This type of attack is often done by flooding the network with echo requests. ;https://owasp.org/www-community/attacks/Denial_of_Service
27;No liveness;;https://www.sciencedirect.com/science/article/pii/S1389128621004321
28;Fraud-proof attack;;https://www.sciencedirect.com/science/article/pii/S1389128621004321
29;Transaction Privacy Leakage;In public blockchain networks, transactions are open and transparent, which makes every transaction in the network traceable. ;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
30;Flaw in Smart Contracts;Once the smart contract are published on Blockchain, it cannot be  changed due to the immutable nature of the blockchain technology.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
31;Cryptography and hashing operation attack;The blockchain digital ledger is designed to store information. In order to secure the information, sufficient cryptography and hashing function is necessary;https://www.researchgate.net/profile/Kishor-Datta-Gupta/publication/330125746_A_survey_of_blockchain_from_security_perspective/links/5c341d00a6fdccd6b59af4a5/A-survey-of-blockchain-from-security-perspective.pdf
32;Short address attack;Short address attack is when a attacker manipulated the address in order to do double spend;https://ieeexplore.ieee.org/abstract/document/8934243
33;Finney attack;Is a type of double spending. The attacker is a regular miner of blocks, but the attacker includes a transaction which sends some of his coins back to himself without broadcasting the transaction to the rest of the network.;https://www.sciencedirect.com/science/article/pii/S0045790620307497
34;Race attack;It is simply a race between two transactions that have been broadcasted to the network at almost identical times. The goal is to reeplace the first transaction with another one that returns the funds. ;https://www.sciencedirect.com/science/article/pii/S0045790620307497
35;Vector76 attack;Is a type of double spending, and combines the race attack and finney attack into one hack. The attacker creates two transaction simultaneously and broadcast them to different parts in the network. One of the broadcasted transaction are high value (sent to back to the attacker), the another one are small value. The small valued transaction eliminates the high value transaction before the networks final acceptance.;https://www.sciencedirect.com/science/article/pii/S0045790620307497
36;Phishing attack;Phishing attack is when an attacker tries to steal one users private keys through different methods like spam, links and so on;https://ieeexplore.ieee.org/abstract/document/8934243
37;Time jacking;If an attacker wins a block, they can slightly change the block timestamp to their advantage. ;http://isyou.info/jisis/vol10/no3/jisis-2020-vol10-no3-06.pdf
38;Malware attack;Is a type of malicious software designed to carry out long-term attacks. An attacker could potentially drain resources from the victim's computer;https://www.researchgate.net/profile/Kishor-Datta-Gupta/publication/330125746_A_survey_of_blockchain_from_security_perspective/links/5c341d00a6fdccd6b59af4a5/A-survey-of-blockchain-from-security-perspective.pdf
39;Code errors;Code errors are a general risk to blockchain because an attacker can utilize the specific error;https://ieeexplore.ieee.org/abstract/document/8934243
40;Bribe attack;Is a type of double spending, where the attacker assumes that at least some miners act rationally;https://ieeexplore.ieee.org/abstract/document/8934243
41;Coin age attack;Coin age attacks is when an attacker tries to manipulate the age of staked coins in proof of stake networks, in order to mint the next block;https://ieeexplore.ieee.org/abstract/document/8934243
42;Prediction attack;An attacker can build a long chain of blocks to collect more commissions and try to do double spending;https://ieeexplore.ieee.org/abstract/document/8934243
43;Reentrancy attack;It is a attack on Solidity smart contract. It occurs then a functin makes an external call to another utrusted contract;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9019870
44;DDoS ;This type of attacks are the most common to distributed systems. Hackers introduce malware to the network and start bombarding the distributed channel with huge amount of requests. The intention is to overwhelm the entire network;https://www.sciencedirect.com/science/article/pii/S2667295221000386
45;Time delay attack;"When an attacker creating a big computational
load on the system to slow down the time inside the network. ";https://ieeexplore.ieee.org/abstract/document/8934243
46;Balance attack;It happens when multiple subgroups or nodes delaying network communication with balanced mining power;http://isyou.info/jisis/vol10/no3/jisis-2020-vol10-no3-06.pdf
47;Replay attack;Replay attack happens when a attacker intercepts and then repeats a valid data transmission that goes through a network. Due to its operation as a distributed system, this type of attack especially affect blockchain;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
48;Overflow attack;Occurs when a number gets incremented above its maximum value. It happens on smart contracts.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
49;Cryptojacking;When a attacker secretly uses a victims computing power to generate cryptocurrency;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
50;Liveness attack;The overall goal of this attack is to delay the transaction confirmation time. Three phases: preparation, transaction denial and blockchain delay. Preparation phase, the attacker attempts to get advantage against honest players to build their private chain. Transaction denial phase, the attacker attempts to delay the genuine block that contains the transaction. In the last phase the attacker attempts to decrease the rate at which the chain transaction grows;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
51;Block Withholding;;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
52;Vulnerable signature;Some cryptographic algorithms has insufficient entropy, which can result in the same random value in more than one signature;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
